ID,Region of residence,Age of Subject,Time spent on Online Class,Rating of Online Class experience,Medium for online class,Time spent on self study,Time spent on fitness,Time spent on sleep,Time spent on social media,Time spent on TV,Number of meals per day,Change in your weight,Health issue during lockdown,Stress busters,Time utilized,"Do you find yourself more connected with your family, close friends , relatives  ?"
R52,Delhi-NCR,20,5,Average,Laptop/Desktop,6,1,7,2,0,3,Remain Constant,NO,Reading books,NO,YES
R53,Delhi-NCR,21,3,Average,Laptop/Desktop,17,0,5,1,0,3,Increased,NO,Online gaming,NO,NO
R54,Delhi-NCR,19,0,Average,Smartphone,2,2,10,1,0.5,4,Remain Constant,NO,Reading books,YES,YES
R55,Delhi-NCR,21,4,Average,Smartphone,4,1,8,2,2,4,Remain Constant,NO,Sleep,YES,YES
R56,Delhi-NCR,19,4,Very poor,Smartphone,2,0,7,1,0,3,Increased,YES,Watching web series,YES,YES
R57,Delhi-NCR,19,2,Very poor,Smartphone,2,2,8,1,0,4,Increased,NO,Listening to music,NO,YES
R58,Delhi-NCR,18,1,Very poor,Smartphone,8,0,8,5,2,3,Increased,NO,Online surfing,YES,YES
R59,Delhi-NCR,20,5,Average,Laptop/Desktop,1,1,7,1,0,3,Increased,YES,Listening to music,NO,YES
R60,Delhi-NCR,21,0,Very poor,Smartphone,5,0,8,1,1,3,Remain Constant,NO,Online gaming,YES,NO
R61,Delhi-NCR,22,6,Very poor,Laptop/Desktop,6,0,6,1,0,2,Increased,NO,Watching web series,YES,NO
R62,Delhi-NCR,20,3,Very poor,Laptop/Desktop,6,1,8,1,2,4,Increased,NO,Sleep,YES,YES
R63,Delhi-NCR,18,0,Very poor,Laptop/Desktop,2,1,6,5,0,1,Remain Constant,NO,Crying,NO,YES
R64,Delhi-NCR,20,2,Very poor,Laptop/Desktop,0,1,8,2,0,3,Increased,NO,Watching web series,NO,YES
R65,Delhi-NCR,23,2,Very poor,Smartphone,1,1,7,5,1,4,Decreased,NO,Listening to music,YES,YES
R66,Delhi-NCR,20,4,Average,Smartphone,4,2,7,2,1,3,Increased,NO,Listening to music,NO,YES
R68,Delhi-NCR,18,3,Average,Smartphone,1,1,8,3,0.5,4,Remain Constant,NO,Dancing,YES,YES
R69,Delhi-NCR,20,1.5,Very poor,Smartphone,3,2,9,1,1,2,Decreased,YES,Sleep,NO,YES
R70,Delhi-NCR,19,2,Very poor,Tablet,2,1,8,5,0,4,Decreased,NO,Scrolling through social media,NO,YES
R71,Outside Delhi-NCR,20,2,Very poor,Smartphone,3,1,6,2,1,4,Increased,NO,Listening to music,NO,NO
R72,Delhi-NCR,22,6,Very poor,Smartphone,4,0,7,2,0,1,Increased,NO,Online gaming,NO,NO
R73,Delhi-NCR,20,2,Very poor,Smartphone,2,0,7,3,2,2,Remain Constant,NO,Reading books,NO,NO
R74,Delhi-NCR,19,1,Average,Laptop/Desktop,0.5,1,7,5,2,3,Remain Constant,NO,Many of these,NO,YES
