ID,Region of residence,Age of Subject,Time spent on Online Class,Rating of Online Class experience,Medium for online class,Time spent on self study,Time spent on fitness,Time spent on sleep,Time spent on social media,Time spent on TV,Number of meals per day,Change in your weight,Health issue during lockdown,Stress busters,Time utilized,"Do you find yourself more connected with your family, close friends , relatives  ?"
R226,Delhi-NCR,22,1.5,Average,Laptop/Desktop,0,0,9,6,2,3,Increased,NO,Scrolling through social media,YES,YES
R227,Outside Delhi-NCR,19,2,Very poor,Smartphone,2,1,8,2,1,3,Decreased,YES,Scrolling through social media,NO,YES
R228,Delhi-NCR,19,2,Very poor,Smartphone,5,1,9,2,0,4,Remain Constant,NO,Listening to music,YES,NO
R229,Outside Delhi-NCR,23,1,Very poor,Laptop/Desktop,1,0,8,5,0,4,Increased,NO,Talking to your relatives,NO,YES
R230,Outside Delhi-NCR,32,4,Good,Laptop/Desktop,5,2,5,3,0,3,Remain Constant,NO,Reading,YES,YES
R231,Delhi-NCR,17,6,Average,Smartphone,12,1,8,2,3,4,Remain Constant,NO,Sleep,NO,NO
R233,Delhi-NCR,22,4,Average,Laptop/Desktop,3,2,8,2,0.5,4,Increased,NO,Sleep,YES,YES
R234,Outside Delhi-NCR,17,6,Very poor,Any Gadget,4,2.5,8,0.5,0,3,Remain Constant,NO,Reading books,YES,YES
R235,Outside Delhi-NCR,17,5,Average,Laptop/Desktop,1.5,2,8,1,3,3,Decreased,NO,Cooking,YES,YES
R236,Delhi-NCR,22,5,Good,Laptop/Desktop,10,1,6,1,0,3,Remain Constant,YES,Online gaming,YES,YES
R237,Outside Delhi-NCR,18,2,Very poor,Smartphone,2,2,9,4,0,3,Increased,NO,Online gaming,NO,YES
R238,Delhi-NCR,20,5,Very poor,Laptop/Desktop,12,0,7,1,0,3,Increased,NO,Reading books,NO,YES
R239,Outside Delhi-NCR,30,3,Average,Smartphone,1,0.5,4,1,0.5,2,Remain Constant,NO,Meditation,YES,YES
R240,Delhi-NCR,19,1,Average,Laptop/Desktop,1,0,8,1,2,4,Remain Constant,NO,Whatever want,NO,NO
R241,Outside Delhi-NCR,14,3,Good,Laptop/Desktop,2,0,8,1,1,1,Increased,NO,Cooking,YES,YES
R243,Outside Delhi-NCR,16,7,Average,Smartphone,3,2,11,1.5,1,3,Decreased,YES,Online gaming,NO,YES
R244,Delhi-NCR,17,6,Average,Smartphone,2,1,9,3,0.5,3,Remain Constant,NO,Sleep,NO,YES
R245,Delhi-NCR,20,1,Very poor,Tablet,2,2,8,1,0,2,Decreased,NO,Reading books,NO,YES
R246,Delhi-NCR,17,4,Good,Smartphone,2,0,7,3,2,4,Increased,NO,Social Media,YES,YES
R247,Delhi-NCR,20,6,Average,Any Gadget,2,0,6,4,0,3,Increased,NO,Listening to music,NO,NO
R249,Outside Delhi-NCR,17,5,Average,Smartphone,4,2,7,2,2,2,Increased,NO,Online gaming,NO,YES
R250,Delhi-NCR,21,3,Very poor,Laptop/Desktop,2,0,7,2,2,3,Remain Constant,NO,Online gaming,YES,NO
R251,Delhi-NCR,16,4,Poor,Laptop/Desktop,0,0,9,1,1,2,Remain Constant,NO,Listening to music,NO,YES
R252,Delhi-NCR,21,5,Average,Smartphone,2,2,6,5,0,3,Increased,NO,Scrolling through social media,NO,YES
R254,Outside Delhi-NCR,20,4,Good,Laptop/Desktop,5,1,7,0.1,0,4,Remain Constant,NO,Reading,NO,NO
R255,Outside Delhi-NCR,14,4,Average,Smartphone,4,0,8,2,2,3,Increased,NO,Listening to music,NO,YES
R256,Delhi-NCR,19,3,Good,Laptop/Desktop,2,0,8,5,1.5,3,Increased,NO,Web Series,NO,YES
R257,Delhi-NCR,18,0,Very poor,Laptop/Desktop,3,0,8,4,1,3,Increased,NO,Watching web series,NO,YES
R258,Outside Delhi-NCR,13,5,Very poor,Laptop/Desktop,4,1,8,10,0,3,Decreased,NO,Cooking,NO,NO
R259,Outside Delhi-NCR,20,4,Very poor,Laptop/Desktop,8,0,6,1,0,3,Decreased,NO,Listening to music,YES,YES
R260,Outside Delhi-NCR,19,0,Very poor,Laptop/Desktop,4,0.3,8,2,0,2,Remain Constant,NO,Talking to your relatives,NO,NO
R261,Outside Delhi-NCR,15,5,Average,Smartphone,1,0,7,1,1.5,3,Remain Constant,NO,Online gaming,NO,YES
R262,Outside Delhi-NCR,20,1,Very poor,Smartphone,0,0,10,5,1,2,Increased,YES,Sleep,NO,YES
R263,Delhi-NCR,19,0,Very poor,Laptop/Desktop,1,0,8,4,2,3,Increased,NO,Watching web series,NO,NO
R264,Outside Delhi-NCR,21,3,Good,Laptop/Desktop,3,1,6,0.5,0.5,2,Increased,YES,Listening to music,YES,NO
R265,Outside Delhi-NCR,20,4,Very poor,Laptop/Desktop,2,1,8,4,0,4,Increased,NO,Listening to music,NO,YES
R266,Delhi-NCR,20,4,Good,Laptop/Desktop,5,1,6,2,0.5,2,Remain Constant,NO,Listening to music,NO,YES
R267,Outside Delhi-NCR,16,6,Good,Laptop/Desktop,3,0,7,1,1,3,Remain Constant,NO,Listening to music,NO,NO
R268,Delhi-NCR,21,2,Poor,Laptop/Desktop,2,1,5,3,1,3,Remain Constant,NO,Reading books,YES,YES
R269,Delhi-NCR,17,5.5,Good,Smartphone,5,1,9,1,1,3,Remain Constant,NO,Listening to music,NO,YES
R270,Delhi-NCR,21,0,Average,Laptop/Desktop,12,0,7,3,0,3,Remain Constant,NO,Reading books,YES,YES
R271,Delhi-NCR,20,0,Good,Smartphone,0,0,7.5,3.5,2,3,Remain Constant,NO,Indoor Games,YES,YES
R272,Delhi-NCR,21,4,Average,Laptop/Desktop,2,1,8,3,N,2,Remain Constant,NO,Online gaming,NO,NO
R273,Delhi-NCR,20,3,Very poor,Smartphone,5,1,7,1,0,3,Increased,NO,Sleep,NO,YES
R274,Outside Delhi-NCR,16,4,Poor,Smartphone or Laptop/Desktop,2.5,0.5,6,0.5,1,3,Remain Constant,NO,"watching movies,reading books,games,listening to music,sleep,dancing",YES,YES
R275,Outside Delhi-NCR,19,0,Very poor,Laptop/Desktop,8,1,8,2,0,2,Increased,YES,Cooking,YES,YES
R276,Delhi-NCR,19,1,Very poor,Laptop/Desktop,3,0,8,3,3,3,Increased,YES,Listening to music,YES,YES
R278,Outside Delhi-NCR,19,1,Excellent,Laptop/Desktop,1,3,9,2,0,5,Remain Constant,NO,Listening to music,NO,YES
R279,Delhi-NCR,20,2,Good,Laptop/Desktop,1,0,10,1,0,2,Remain Constant,NO,Online gaming,NO,YES
R280,Delhi-NCR,19,2,Average,Smartphone,3,1,9,3,3,3,Increased,NO,Sleep,NO,YES
R281,Outside Delhi-NCR,17,7,Average,Laptop/Desktop,2,0,6,2,2,2,Increased,NO,Sleep,YES,YES
R282,Delhi-NCR,21,0,Very poor,Laptop/Desktop,2,0,8,3,5,3,Decreased,NO,Watching web series,NO,NO
R283,Outside Delhi-NCR,17,6,Good,Smartphone,4,0,7,1,2,3,Decreased,NO,Listening to music,YES,NO
R285,Delhi-NCR,25,5,Average,Laptop/Desktop,6,0,8,1,0,3,Remain Constant,NO,Listening to music,YES,NO
R286,Delhi-NCR,19,3,Average,Laptop/Desktop,6,0.5,8,0.6,1.5,4,Increased,NO,Reading books,YES,YES
R287,Delhi-NCR,16,5,Very poor,Smartphone,2,1,8,2,0,3,Increased,NO,Online gaming,NO,YES
R288,Delhi-NCR,17,7,Good,Smartphone,5,0.5,7,2,2,3,Increased,NO,Online gaming,NO,NO
R289,Delhi-NCR,18,1,Average,Smartphone,2,0,10,1,0.5,2,Remain Constant,NO,Reading books,NO,NO
R290,Outside Delhi-NCR,20,5,Excellent,Laptop/Desktop,1,1,8,3,0,3,Remain Constant,NO,Listening to music,YES,NO
R291,Delhi-NCR,20,3,Very poor,Laptop/Desktop,9,1,6,1,0,1,Increased,NO,Meditation,NO,YES
R292,Delhi-NCR,20,1,Very poor,Laptop/Desktop,3,1,9,4,0,2,Increased,NO,Scrolling through social media,YES,YES
R293,Delhi-NCR,22,3,Average,Smartphone,3,0,8,2,1,3,Increased,NO,Talking to your relatives,NO,NO
R294,Outside Delhi-NCR,16,7,Excellent,Tablet,2,1,6,2,0,3,Decreased,NO,Online surfing,YES,NO
R295,Delhi-NCR,19,2,Very poor,Laptop/Desktop,1,1,7,5,1,4,Remain Constant,NO,Talking to your relatives,NO,YES
R296,Outside Delhi-NCR,17,9,Average,Laptop/Desktop,5,1,6,1,0,3,Decreased,NO,Listening to music,YES,NO
R297,Outside Delhi-NCR,20,0,Average,Laptop/Desktop,1,0,9,5,2,4,Remain Constant,YES,Listening to music,YES,YES
R298,Delhi-NCR,21,0,Very poor,Laptop/Desktop,6,0,6,4,2,3,Increased,NO,Meditation,NO,YES
R299,Outside Delhi-NCR,19,2,Very poor,Laptop/Desktop,3,1,8,1,2,4,Remain Constant,NO,Watching web series,YES,YES
R301,Delhi-NCR,17,8,Very poor,Smartphone,2,1,9,0,0,3,Remain Constant,NO,Listening to music,NO,NO
R302,Outside Delhi-NCR,25,1,Average,Laptop/Desktop,3,1,7,3,2,3,Increased,NO,Reading books,NO,YES
R303,Delhi-NCR,20,3,Average,Smartphone,2,0.5,8,3,0,3,Remain Constant,NO,Listening to music,NO,YES
R304,Outside Delhi-NCR,21,0,Very poor,NA,1,0,10,3,2,3,Remain Constant,NO,Watching web series,NO,NO
R305,Outside Delhi-NCR,19,5,Excellent,Smartphone,5,1,7,2,3,3,Increased,NO,Sleep,NO,YES
R306,Delhi-NCR,23,5,Average,Smartphone,5,1,8,1,2,3,Remain Constant,NO,gardening cartoon,YES,YES
R307,Outside Delhi-NCR,22,2,Average,Laptop/Desktop,8,1,8,2,1,2,Remain Constant,NO,Listening to music,YES,NO
R308,Outside Delhi-NCR,22,4,Average,Laptop/Desktop,1,1,8,4,1,3,Increased,NO,Online surfing,YES,NO
R310,Delhi-NCR,21,3,Average,Laptop/Desktop,3,2,6.5,2,2,2,Increased,NO,Scrolling through social media,NO,YES
R311,Outside Delhi-NCR,22,1,Average,Smartphone,3,1,8,1,0,2,Decreased,YES,Cooking,NO,NO
R312,Outside Delhi-NCR,24,3,Very poor,Laptop/Desktop,4,0,6,3,4,3,Remain Constant,NO,Listening to music,NO,NO
R313,Delhi-NCR,14,3,Average,Tablet,6,3,7,3,1,2,Remain Constant,NO,"listening to music,reading books and dancing.",YES,YES
R314,Outside Delhi-NCR,16,4,Very poor,Smartphone,3,0,8,4,0,4,Remain Constant,NO,Dont get distreessed,YES,NO
R315,Delhi-NCR,19,1,Average,Laptop/Desktop,3,2,7,1,2,2,Remain Constant,YES,Online gaming,NO,NO
R316,Outside Delhi-NCR,21,5,Very poor,Laptop/Desktop,3,2,10,6,1,3,Increased,YES,Online gaming,YES,NO
R317,Delhi-NCR,17,2,Average,Laptop/Desktop,5,0,8,4,0,3,Remain Constant,NO," listening music, motion design, graphic design, sleeping.",YES,NO
R318,Delhi-NCR,16,4,Good,Smartphone,2,0.5,9,1,0.1,3,Increased,NO,Sleeping,NO,YES
R320,Delhi-NCR,29,8,Good,Laptop/Desktop,2,1,8,0.5,2,4,Remain Constant,NO,Web Series,NO,NO
R321,Outside Delhi-NCR,26,1,Good,Laptop/Desktop,4,0,6,6,4,3,Remain Constant,NO,Talking,NO,YES
R322,Delhi-NCR,21,5,Very poor,Smartphone,2,1,12,2,1,4,Increased,NO,Listening to music,YES,NO
R323,Outside Delhi-NCR,18,0,Very poor,Smartphone,0,2,7,6,0,4,Increased,NO,Business,YES,YES
R324,Delhi-NCR,19,3,Very poor,Smartphone,0,0,12,5,0,3,Decreased,NO,Online gaming,NO,NO
R325,Delhi-NCR,21,2,Average,Laptop/Desktop,2,1,10,2,0.25,3,Remain Constant,NO,Sleep,YES,NO
R326,Delhi-NCR,12,1,Good,Laptop/Desktop,3,2,8,2,1,4,Increased,NO,Reading,YES,YES
R327,Delhi-NCR,26,0,Very poor,Smartphone,1,1,7,1,2,2,Decreased,NO,Online gaming,NO,YES
R328,Outside Delhi-NCR,20,6,Very poor,Laptop/Desktop,6,0,6,3,0,4,Increased,NO,Reading books,NO,YES
R329,Delhi-NCR,16,4,Very poor,Smartphone,2,1,9,2,1,2,Decreased,NO,Many among these ,NO,NO
R330,Delhi-NCR,21,0,Average,Laptop/Desktop,2,0,10,5,1,3,Increased,NO,Listening to music,YES,NO
R331,Outside Delhi-NCR,21,5,Average,Laptop/Desktop,2,0,8,0.5,1,2,Increased,NO,Sleep,NO,YES
R332,Delhi-NCR,20,6,Average,Laptop/Desktop,4,0,7,1,0,3,Increased,NO,Cooking,YES,YES
R333,Delhi-NCR,21,0,Very poor,Laptop/Desktop,2,1,7,1,0,4,Remain Constant,YES,Listening to music,YES,NO
R334,Outside Delhi-NCR,21,2,Average,Smartphone,2,1,7,1,4,3,Remain Constant,NO,Online surfing,YES,NO
R335,Delhi-NCR,19,1,Very poor,Laptop/Desktop,0,0,12,10,2,2,Remain Constant,NO,Online gaming,NO,NO
R336,Outside Delhi-NCR,21,2,Average,Laptop/Desktop,2,0,8,2,1,3,Remain Constant,YES,Reading books,NO,YES
R337,Delhi-NCR,14,5,Average,Smartphone,2.3,0,8,2,3,2,Remain Constant,NO,Scrolling through social media,YES,YES
R338,Delhi-NCR,22,1,Average,Laptop/Desktop,2,0,11,3,3,2,Increased,YES,Dancing,NO,NO
R339,Delhi-NCR,19,2,Average,Smartphone,2.5,0,9,2,1,3,Remain Constant,NO,Online surfing,NO,NO
R340,Outside Delhi-NCR,18,4,Average,Smartphone,1,1,12,1,1,2,Increased,NO,Watching web series,NO,YES
R341,Outside Delhi-NCR,16,8,Average,Laptop/Desktop,6,0,6,1,0,4,Remain Constant,NO,Watching web series,YES,NO
R342,Outside Delhi-NCR,43,2,Average,Smartphone,0,1,6,2,0.5,3,Increased,NO,Talk with childhood friends.,NO,YES
R343,Outside Delhi-NCR,15,4,Very poor,Tablet,10,0,8,1,1,3,Remain Constant,NO,Listening to music,NO,YES
R344,Outside Delhi-NCR,32,1,Very poor,Laptop/Desktop,10,1,8,2,0,3,Increased,NO,Reading books,YES,YES
R345,Delhi-NCR,15,3,Good,Laptop/Desktop,3,1,7,1,2,2,Increased,NO,Sleeping,YES,YES
R347,Delhi-NCR,16,4,Average,NA,4,1,6,1,1,3,Increased,NO,Listening to music,YES,YES
R348,Outside Delhi-NCR,21,2,Very poor,NA,4,0,9,2,0,4,Remain Constant,NO,Sleep,NO,YES
R349,Outside Delhi-NCR,14,5,Good,NA,2,1,9,1,1,4,Increased,NO,Talking,NO,YES
R350,Delhi-NCR,19,2,Very poor,NA,1,1,11,3,0,2,Increased,NO,Listening to music,NO,NO
R351,Outside Delhi-NCR,18,1.5,Average,NA,2,1,8,1,0.5,2,Remain Constant,NO,Meditation,YES,YES
R352,Delhi-NCR,11,4,Average,NA,2,2,10,1,3,4,Remain Constant,NO,Playing ,NO,YES
R353,Delhi-NCR,24,0.5,Average,NA,2,0,8,1,0,3,Remain Constant,NO,Watching web series,YES,YES
R354,Outside Delhi-NCR,21,3,Average,Laptop/Desktop,3,1,8,2,0,3,Increased,NO,Watching web series,NO,YES
R355,Delhi-NCR,15,5,Average,Smartphone,3,3,8,3,2,3,Remain Constant,NO,Online gaming,YES,YES
R356,Delhi-NCR,34,2,Average,Laptop/Desktop,3,1,7,2,1,3,Remain Constant,NO,Sleep,YES,YES
R357,Delhi-NCR,17,0.75,Average,Smartphone,5,1,6,2,2,1,Increased,YES,Reading books,NO,YES
R358,Delhi-NCR,12,1,Excellent,Smartphone,2,1,9,2,1,3,Increased,NO,Online gaming,YES,YES
R359,Delhi-NCR,16,1,Average,Smartphone,2,1,7,2,3,3,Remain Constant,NO,Listening to music,NO,YES
R360,Delhi-NCR,17,7,Average,Laptop/Desktop,8,1,6,1,1,3,Increased,NO,Listening to music,YES,YES
R361,Delhi-NCR,14,2.5,Good,Smartphone,1,0.5,6,2,1,2,Decreased,NO,Cooking,YES,YES
R362,Outside Delhi-NCR,16,4,Average,Smartphone,5,1,6,2,2,2,Remain Constant,NO,Dancing,YES,NO
R363,Delhi-NCR,13,2,Excellent,Smartphone,1,3,11,3,2,4,Increased,NO,Reading books,NO,YES
R364,Delhi-NCR,23,0,Average,Laptop/Desktop,2,0,7,3,0,3,Remain Constant,NO,Listening to music,YES,NO
R365,Delhi-NCR,21,6,Very poor,Smartphone,0,1,7,4,1,4,Increased,NO,Listening to music,YES,YES
R366,Outside Delhi-NCR,31,4,Excellent,Laptop/Desktop,2,1,8,1,1,3,Increased,NO,Sleep,YES,NO
R367,Delhi-NCR,23,5,Excellent,Smartphone,1,1,9,2,0,4,Decreased,NO,Online gaming,YES,YES
R368,Delhi-NCR,13,1,Excellent,Smartphone,5,3,6,2,2,7,Increased,NO,Exercise,YES,YES
R369,Delhi-NCR,21,3,Average,Laptop/Desktop,0,1,8,3,0,3,Increased,YES,Listening to music,NO,NO
R370,Delhi-NCR,17,6,Average,Laptop/Desktop,2.5,1,6,0,0.5,3,Remain Constant,NO,Reading books,YES,YES
R371,Delhi-NCR,23,3,Good,Laptop/Desktop,3,0,7,2,0,3,Remain Constant,NO,Cooking,NO,YES
R372,Delhi-NCR,13,1,Excellent,Smartphone,2,0,8,0,4,3,Increased,NO,Watching web series,YES,NO
R373,Delhi-NCR,20,1,Average,Laptop/Desktop,2.5,0,6,4,1,3,Remain Constant,NO,Online gaming,YES,YES
R374,Delhi-NCR,13,0.5,Average,Smartphone,2,2,10,2,0,3,Increased,NO,Online gaming,YES,NO
R375,Delhi-NCR,14,2,Excellent,Smartphone,1,1,8,1,2,1,Increased,YES,Online gaming,YES,YES
R376,Delhi-NCR,40,1,Average,Laptop/Desktop,2,1,6,4,0,2,Remain Constant,NO,Online surfing,NO,YES
R377,Delhi-NCR,12,1,Excellent,Smartphone,1.2,0.5,10,0,2,3,Increased,NO,Talking to your relatives,YES,YES
R378,Delhi-NCR,20,3,Very poor,Laptop/Desktop,2,1,8,4,0,3,Remain Constant,YES,Listening to music,NO,YES
R379,Delhi-NCR,12,1,Good,Smartphone,2,0.5,8,2,2,4,Remain Constant,NO,Listening to music,NO,YES
R380,Delhi-NCR,21,3,Average,Laptop/Desktop,3,0,8,2,0,4,Decreased,NO,Sleep,NO,YES
R381,Delhi-NCR,42,4,Good,Laptop/Desktop,3,0,7,1,0.5,2,Increased,NO,Social Media,YES,YES
R382,Outside Delhi-NCR,20,3,Good,Smartphone,4,2,7,4,0.5,4,Remain Constant,YES,Talking,NO,YES
R384,Delhi-NCR,40,2,Good,NA,1,1,8,1,1,2,Remain Constant,NO,Web Series,YES,YES
R385,Delhi-NCR,14,3,Excellent,NA,2,0,12,2,3,1,Decreased,NO,Online gaming,NO,NO
R386,Delhi-NCR,12,1,Average,NA,1,0,12,1,1,1,Remain Constant,NO,Reading books,NO,YES
R387,Delhi-NCR,14,4,Average,NA,2,1,8,2,1,3,Remain Constant,NO,Listening to music,YES,NO
R388,Delhi-NCR,22,0,Average,NA,0,0,9,2,2,3,Remain Constant,NO,Talking to friends,NO,NO
R389,Outside Delhi-NCR,40,4,Average,NA,4,0,8,2,1,3,Increased,NO,Listening to music,NO,YES
R390,Outside Delhi-NCR,21,4,Very poor,NA,3,1,6,2,5,2,Remain Constant,NO,Meditation,NO,YES
R391,Delhi-NCR,23,3,Good,Smartphone,1,0,6,2,3,3,Remain Constant,NO,Listening to music,NO,YES
R392,Delhi-NCR,12,2,Excellent,Smartphone,2,1,10,1,1,4,Remain Constant,NO,Reading books,YES,YES
R393,Outside Delhi-NCR,17,2,Excellent,Smartphone,3,1,6,2,2,1,Increased,NO,Talking to your relatives,YES,YES
R394,Outside Delhi-NCR,18,1,Average,Laptop/Desktop,1,0,8,4,0,3,Decreased,NO,Watching web series,YES,YES
R395,Outside Delhi-NCR,20,1,Average,Laptop/Desktop,2,2,9,4,5,2,Remain Constant,NO,Listening to music,YES,NO
R396,Outside Delhi-NCR,17,5,Average,Smartphone,3,1,6,1,2,1,Remain Constant,NO,Online gaming,YES,YES
R397,Delhi-NCR,20,1,Average,Laptop/Desktop,4,0,8,3,0,3,Remain Constant,NO,Watching web series,NO,NO
R398,Delhi-NCR,20,3,Very poor,Laptop/Desktop,4,1,8,2,0.5,4,Remain Constant,NO,Cooking,YES,YES
R399,Delhi-NCR,19,0.75,Poor,Laptop/Desktop,2,1,6,4,0,2,Remain Constant,NO,"Netflix, Friends and Books",NO,YES
R400,Outside Delhi-NCR,20,4,Good,Laptop/Desktop,2,0,11,1,0,3,Increased,NO,Listening to music,NO,YES
R401,Delhi-NCR,16,2,Excellent,Smartphone,5,1,8,4,4,3,Increased,NO,Online gaming,YES,YES
R402,Delhi-NCR,13,3,Excellent,Smartphone,2,0,8,1,0,3,Remain Constant,NO,Listening to music,YES,YES
R403,Delhi-NCR,20,0,Good,Laptop/Desktop,4,1,7,4,2,3,Remain Constant,YES,Web Series,NO,YES
R404,Outside Delhi-NCR,14,3,Excellent,Smartphone,2,0,10,1,1,2,Remain Constant,NO,Listening to music,NO,YES
R405,Delhi-NCR,17,2,Good,Smartphone,1,1,8,3,2,3,Decreased,NO,Online gaming,YES,YES
R406,Outside Delhi-NCR,20,1,Very poor,Laptop/Desktop,1,0,12,2,1,3,Increased,NO,Listening to music,NO,YES
R407,Delhi-NCR,17,7,Excellent,Smartphone,1,1,4,1,0,1,Decreased,NO,Cooking,YES,YES
R408,Outside Delhi-NCR,13,2,Excellent,Smartphone,1,1,6,2,0,1,Decreased,YES,Reading books,YES,YES
R409,Delhi-NCR,13,1,Good,Smartphone,2,1,8,3,0.5,3,Remain Constant,NO,Online gaming,YES,YES
R410,Outside Delhi-NCR,20,2,Very poor,Laptop/Desktop,4,1,8,2,0,3,Remain Constant,NO,Meditation,YES,YES
R411,Outside Delhi-NCR,27,0,Good,Laptop/Desktop,2,0,10,6,6,3,Decreased,NO,Online gaming,NO,YES
R412,Delhi-NCR,20,1,Good,Laptop/Desktop,0,1,7,2,0,3,Decreased,NO,Web Series,YES,NO
R413,Delhi-NCR,20,5,Very poor,Laptop/Desktop,3,1,7,4,0,3,Decreased,NO,Listening to music,YES,YES
R414,Delhi-NCR,17,4,Average,Smartphone,1,1,8,5,0.3,2,Increased,NO,Online gaming,NO,YES
R415,Delhi-NCR,27,3,Excellent,Laptop/Desktop,2,2,7,1,0,3,Decreased,YES,Listening to music,YES,YES
R416,Outside Delhi-NCR,14,1,Good,Smartphone,3,1,9,1,0,3,Increased,NO,Online gaming,YES,YES
R417,Delhi-NCR,9,1,Average,Laptop/Desktop,1,0,8,0,1,3,Increased,NO,Listening to music,NO,NO
R418,Delhi-NCR,14,5,Average,Smartphone,1,1,7,1,4.5,2,Decreased,NO,Watching web series,NO,YES
R419,Delhi-NCR,36,2,Excellent,Tablet,3,1,7,5,3,3,Increased,NO,Online gaming,NO,YES
R420,Delhi-NCR,8,2,Excellent,Laptop/Desktop,2,1,8,1,2,3,Remain Constant,NO,Dancing,YES,YES
R421,Delhi-NCR,20,2,Average,Laptop/Desktop,1,1,7,1,1,2,Remain Constant,NO,Watching web series,YES,YES
R422,Outside Delhi-NCR,12,2,Average,Laptop/Desktop,1,1,7,2,2,2,Increased,NO,Sleeping,YES,YES
R423,Delhi-NCR,19,8,Excellent,Laptop/Desktop,10,1,6,1,0,4,Remain Constant,NO,Online gaming,YES,YES
R424,Outside Delhi-NCR,24,0,Excellent,Laptop/Desktop,3,1,8,3,0,3,Decreased,NO,Online gaming,YES,NO
R425,Delhi-NCR,20,2,Average,Laptop/Desktop,2,2,8,3,0,3,Remain Constant,NO,Watching web series,YES,YES
R426,Delhi-NCR,22,1,Very poor,Smartphone,3,0,7,3,2,3,Remain Constant,NO,Watching web series,NO,YES
R427,Outside Delhi-NCR,20,3,Very poor,Laptop/Desktop,0,1,9,4,4,4,Decreased,NO,Sleeping,NO,YES
R428,Delhi-NCR,12,1,Excellent,Smartphone,3,1,6,1,1,1,Remain Constant,NO,Cooking,NO,YES
R429,Outside Delhi-NCR,21,0,Very poor,Laptop/Desktop,1,0,6,6,1,3,Remain Constant,YES,Scrolling through social media,NO,NO
R430,Delhi-NCR,20,2,Average,Laptop/Desktop,3,2,7,3,1,2,Decreased,NO,Talking to your relatives,YES,YES
R431,Outside Delhi-NCR,32,1,Average,Smartphone,0,0,14,2,2,3,Remain Constant,NO,Watching web series,NO,YES
R432,Outside Delhi-NCR,28,4,Good,Laptop/Desktop,4,1,12,2,0,3,Decreased,NO,Social Media,YES,YES
R433,Delhi-NCR,21,2,Very poor,Laptop/Desktop,0,1,12,5,5,4,Remain Constant,NO,Listening to music,NO,NO
R434,Outside Delhi-NCR,21,2,Average,Laptop/Desktop,2,1,8,2,2,3,Remain Constant,YES,Watching web series,YES,YES
R435,Delhi-NCR,15,5,Average,Laptop/Desktop,3,1,10,3,1,4,Remain Constant,NO,Listening to music,YES,YES
R436,Outside Delhi-NCR,19,1,Very poor,Laptop/Desktop,0,1,9,8,0,3,Remain Constant,NO,Online gaming,NO,NO
R437,Outside Delhi-NCR,19,3,Very poor,Laptop/Desktop,1,0,5,1,2,3,Increased,NO,Watching web series,NO,YES
R438,Outside Delhi-NCR,18,3,Very poor,Smartphone,2,0,8,2,0.5,3,Remain Constant,NO,Scrolling through social media,NO,YES
R439,Delhi-NCR,14,7,Very poor,Tablet,3,0,8,0,1,2,Decreased,NO,Sleeping,NO,NO
R440,Outside Delhi-NCR,18,1,Excellent,Smartphone,2,1,8,1,0,2,Remain Constant,NO,Online gaming,YES,YES
R441,Delhi-NCR,50,2,Good,Smartphone,2,0,6,2,1,3,Remain Constant,NO,Listening to music,YES,NO
R442,Outside Delhi-NCR,20,0.7,Very poor,Laptop/Desktop,3.5,0.5,8,3,0.6,4,Increased,NO,Reading books,YES,YES
R443,Outside Delhi-NCR,16,2,Very poor,Laptop/Desktop,2,1,9,2,0.5,2,Remain Constant,YES,Listening to music,NO,YES
R444,Delhi-NCR,13,2,Good,Smartphone,1,0,11,2,3,2,Increased,YES,Social Media,NO,NO
R445,Delhi-NCR,20,3,Very poor,Laptop/Desktop,4,1,8,2,0,3,Remain Constant,NO,Reading books,YES,YES
R446,Delhi-NCR,21,0,Very poor,Laptop/Desktop,2,1,7,2,7,3,Increased,NO,Watching web series,NO,NO
R447,Delhi-NCR,14,3,Excellent,Laptop/Desktop,5,2,10,3,3,3,Decreased,NO,Listening to music,YES,YES
R448,Outside Delhi-NCR,20,0,Very poor,Laptop/Desktop,2,0,7,5,0,2,Decreased,YES,Listening to music,NO,YES
R449,Delhi-NCR,22,3,Average,Laptop/Desktop,2,0,7,3,0,3,Increased,NO,Reading books,YES,YES
R450,Delhi-NCR,13,0.75,Excellent,Smartphone,2,0,7,1,0,1,Remain Constant,NO,Reading books,YES,NO
R451,Delhi-NCR,13,3,Good,Smartphone,3,1,8,1,0.5,2,Increased,NO,Online gaming,YES,YES
R452,Delhi-NCR,16,6,Good,Smartphone,3,1,6,1,1,1,Decreased,NO,Talking,YES,YES
R453,Outside Delhi-NCR,35,4,Average,Smartphone,2,1,6,0.5,1,2,Remain Constant,NO,Online surfing,NO,YES
R454,Outside Delhi-NCR,45,3,Excellent,Laptop/Desktop,4,1,8,2,1,3,Increased,NO,Meditation,YES,YES
R455,Delhi-NCR,16,0,Good,Smartphone,0,2,6,1,4,2,Remain Constant,NO,Online gaming,NO,YES
R456,Delhi-NCR,20,4,Very poor,Laptop/Desktop,6,0,8,0,0,2,Remain Constant,NO,Reading books,YES,YES
R457,Outside Delhi-NCR,21,0,Poor,Laptop/Desktop,9,0,7,2,0,3,Remain Constant,NO,Listening to music,YES,NO
R458,Delhi-NCR,23,6,Average,Laptop/Desktop,4,1,9,1,0,4,Remain Constant,NO,Listening to music,NO,NO
